name,category
Change of Fortune,Card advantage|Discard matters|Draw|Wheel
Changeling Outcast,Cda subtype|Changeling|Characteristic defining ability|Evasion|Unblockable
Channeled Dragonfire,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Castable from graveyard|Castable from nonhand|Exile self|Power matters|Removal|Removal burn|Removal creature|Removal planeswalker|Single target instant/sorcery|Tap fuel creature|Tap outlet
Chaos Warp,Cost ignorer|Removal|Removal artifact|Removal aura|Removal battle|Removal creature|Removal enchantment|Removal equipment|Removal land|Removal permanent|Removal planeswalker|Removal spacecraft|Removal tuck|Removal vehicle|Single target instant/sorcery|Spot removal
Charcoal Diamond,Cycle|Cycle mir diamond|Mana producer|Mana rock|Ramp
Chariot of Victory,Gives haste|Gives trample
Charismatic Conqueror,Hate|Hate artifact|Hatebear|Kismet effect|Lifegain|Punisher|Repeatable creature tokens|Repeatable token generator|Tapper|Tapper artifact|Tapper creature|Triggered ability
Charred Foyer // Warped Space,Card advantage|Cost ignorer|Cycle|Cycle dsk m room|Free cast another|Gives castable from exile|Gives castable from nonhand|Impulsive draw|Repeatable impulsive draw|Synergy exile cast|Triggered ability
Chart a Course,Card advantage|Catalog|Discard outlet|Draw|Hand neutral|Hand positive|Loot|Pure draw|Raid|Synergy attacker
Child of Night,French vanilla|Lifegain
"Chimil, the Inner Sun",Card advantage|Consult cast|Free cast another|Gives castable from exile|Gives castable from nonhand|Gives uncounterable|Hate|Hate counterspell|Triggered ability
Chivalric Alliance,Attack trigger|Card advantage|Discard outlet|Draw|Pure draw|Repeatable creature tokens|Repeatable draw|Repeatable token generator|Synergy attacker|Triggered ability
Choked Estuary,Cycle|Cycle dual land|Cycle land|Cycle reveal land|Cycle soi reveal land|Dual land|Synergy island|Synergy swamp
Chromatic Lantern,Gives tap ability|Mana fix|Mana producer|Mana rock|Ramp|Tap outlet
Chromatic Sphere,Card advantage|Draw|Egg|Hand neutral|Mana ability with extra effect|Mana egg|Mana filter|Pure draw|Sacrifice self
Chromatic Star,Card advantage|Death trigger|Death trigger self|Draw|Egg|Hand neutral|Leaves battlefield trigger|Mana egg|Mana filter|Pure draw|Sacrifice self|Triggered ability
Chrome Mox,Mana producer|Mana rock|Manaless value|Moxen|Ramp|Synergy color share|Triggered ability
Cinder Barrens,Cycle|Cycle dual land|Cycle dual tapland|Cycle land|Cycle ogw tapland|Dual land
Cinder Pyromancer,Burn|Burn planeswalker|Burn player|Cast trigger|Cast trigger you|Cycle|Cycle eve untapper|Pinger|Removal|Removal burn|Removal planeswalker|Repeatable crime|Repeatable removal|Synergy red|Triggered ability
Circular Logic,Cards in graveyard matter|Castable from exile|Castable from nonhand|Counterspell|Counterspell soft|Counterspell with set mechanic|Cycle|Cycle tor u madness|Delayed triggered ability|Exile self|Single target instant/sorcery|Triggered ability|Unexile
Citadel Gate,Color choose land|Cycle|Cycle clb thriving gate
Citadel of Pain,Burn|Burn player|Burn player each|Catch 22|Group slug|Triggered ability
City of Brass,Life payment|Triggered ability
City of Traitors,Ramp|Triggered ability
City on Fire,Convoke|Damage multiplier|Discount self|Synergy color share|Synergy red|Tap fuel creature|Tap outlet
Claim Jumper,Catch up|Ramp|Triggered ability|Tutor|Tutor land|Tutor land plains|Tutor land to battlefield|Tutor to|Tutor to battlefield
"Clavileño, First of the Blessed",Attack trigger|Card advantage|Cycle|Cycle lcc face commander|Death trigger|Draw|Face commander|Indefinite effect|Leaves battlefield trigger|Pure draw|Repeatable creature tokens|Repeatable draw|Repeatable token generator|Synergy attacker|Triggered ability|Typal creature|Typal vampire
Claws of Valakut,Lands matter|Maro sorcerer|Synergy mountain
Clearwater Pathway,Cycle|Cycle dual land|Cycle land|Cycle pathway|Cycle znr pathway|Dual land
Cleric Class,Cycle|Cycle afr u class|Lifegain|Lifegain increaser|Lifegain matters|Mana sink|Pridemate|Reanimate|Reanimate creature|Recursion|Recursion creature|Toughness matters|Triggered ability
Cleric of Life's Bond,Cycle|Cycle znr draft signpost|Draft signpost|Lifegain|Lifegain matters|Pridemate|Triggered ability|Typal cleric|Typal creature
Clever Concealment,Convoke|Discount self|Phasing|Protects artifact|Protects creature|Protects enchantment|Protects planeswalker|Single target instant/sorcery|Synergy color share|Synergy white|Tap fuel creature|Tap outlet
Cliffhaven Vampire,Cycle|Cycle ogw draft signpost|Draft signpost|Evasion|Group slug|Lifegain matters|Lifegain to damage|Opponent loses life|Triggered ability
Clifftop Retreat,Cycle|Cycle checkland|Cycle dual land|Cycle isd checkland|Cycle land|Dual land|Synergy mountain|Synergy plains
"Clive, Ifrit's Dominant",Burn|Burn creature|Burst draw|Card advantage|Draw|Exile self|Exile self dfc transform|Mana producer|Namesake spell|Non mana ability mana|Ramp|Removal|Removal burn|Removal creature|Removal fight|Repeatable crime|Repeatable removal|Synergy red|Triggered ability|Wheel|Wheel one sided
Cloudstone Curio,Bounce|Permanentfall|Rescue creature|Rescue enchantment|Rescue land|Rescue nonartifact|Thingfall|Triggered ability
Coat of Arms,Typal creature|Typal share
Coiling Rebirth,Copy|Copy creature|Group hug|Reanimate|Reanimate creature|Recursion|Recursion creature|Single target instant/sorcery
Coldsteel Heart,Mana producer|Mana rock|Ramp
Colossus Hammer,
Combustible Gearhulk,Burn|Burn player|Burst draw|Card advantage|Cycle|Cycle kld gearhulk|Draw|Mana value matters|Mill|Mill self|Punisher|Pure draw|Triggered ability
Coming In Hot,Combat trick|Library manipulation|Peek|Peek library|Single target instant/sorcery|Top deck manipulation
Command Beacon,Commander matters|Commander tax evasion|Sacrifice self|Synergy commander
Command Bridge,Rupture spire|Tap fuel permanent|Tap outlet|Triggered ability
Command Tower,Commander identity matters|Commander matters|Synergy color share|Synergy commander|Tutored by name
Commander's Plate,Alternate equip cost|Commander identity matters|Commander matters|Gives evasion|Gives protection|Hate color non share|Protects creature|Synergy commander
Commander's Sphere,Card advantage|Commander identity matters|Commander matters|Draw|Egg|Hand neutral|Mana producer|Mana rock|Pure draw|Ramp|Sacrifice self|Synergy color share|Synergy commander
Commune with Lava,Card advantage|Gives castable from exile|Gives castable from nonhand|Impulsive draw
Compulsive Research,Burst draw|Card advantage|Compulsive research|Discard outlet|Discarded type matters|Draw|Hand neutral|Hand positive|Loot|Single target instant/sorcery
Concealed Courtyard,Cycle|Cycle dual land|Cycle fastland|Cycle kld fastland|Cycle land|Dual land
Conduit Pylons,Library manipulation|Mana filter|Mill|Mill self|Peek|Peek library|Surveil|Top deck manipulation|Triggered ability
Congregate,Creature count matters|Lifegain|Single target instant/sorcery
Conjurer's Bauble,Card advantage|Draw|Egg|Hand neutral|Library manipulation|Pure draw|Recursion|Restock to bottom|Sacrifice self
Conjurer's Closet,Flicker|Flicker creature|Triggered ability
Consecrated Sphinx,Card advantage|Draw|Draw hate|Evasion|Hate|Pure draw|Repeatable draw|Triggered ability
Consuming Fervor,Triggered ability
Contaminated Landscape,Card advantage|Cycle|Cycle colorless land|Cycle land|Cycle mh3 landscape|Draw|Fetchland|Hand neutral|Pure draw|Sacrifice self|Tutor|Tutor land|Tutor land basic|Tutor land basic island|Tutor land basic plains|Tutor land basic swamp|Tutor land to battlefield|Tutor to|Tutor to battlefield
Copycrook,Attack trigger|Card advantage|Clone|Copy|Copy creature|Discard outlet|Draw|Loot|Synergy attacker self|Triggered ability
Cordial Vampire,Death trigger|Leaves battlefield trigger|Triggered ability|Typal creature|Typal vampire
Corpse Knight,Cycle|Cycle m20 draft signpost|Draft signpost|Group slug|Opponent loses life|Triggered ability
Corrupted Conviction,Card advantage|Draw|Hand positive|Plunder|Sacrifice outlet|Sacrifice outlet creature
Coruscation Mage,Burn|Burn player|Cast trigger|Cast trigger you|Copy|Copy self|Creates token of a card|Group slug|Multiple bodies|Pinger|Synergy noncreature|Triggered ability
Cosmos Elixir,Card advantage|Draw|Life total matters self|Lifegain|Lifegain matters|Pure draw|Repeatable draw|Triggered ability
Cosmotronic Wave,Burn|Burn creature|Prevent blocker|Prevent mass blockers|Removal|Removal burn|Removal creature|Sweeper|Sweeper one sided
Count on Luck,Card advantage|Gives castable from exile|Gives castable from nonhand|Impulsive draw|Repeatable impulsive draw|Triggered ability
Counterspell,Counterspell|Interrupt|Single target instant/sorcery
Court of Ardenvale,Card advantage|Cycle|Cycle woc court|Draw|Monarch matters|Pure draw|Reanimate|Reanimate permanent|Recursion|Recursion permanent|Regrowth permanent|Repeatable draw|Self replacement effect|Triggered ability
Court of Embereth,Burn|Burn player|Card advantage|Creature count matters|Cycle|Cycle woc court|Draw|Group slug|Monarch matters|Pure draw|Repeatable creature tokens|Repeatable draw|Repeatable token generator|Triggered ability
Cover of Darkness,Gives evasion|Gives fear|Typal choose|Typal creature
Coveted Jewel,Burst draw|Card advantage|Defector|Draw|Group hug|Mana producer|Mana rock|Pure draw|Ramp|Repeatable draw|Synergy attacker|Triggered ability
Crackle with Power,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Multi removal|Multiple targets|Removal|Removal burn|Removal creature|Removal planeswalker|Single target instant/sorcery
Crackling Club,Bombard self|Burn|Burn creature|Removal|Removal burn|Removal creature|Sacrifice self|Spot removal
Crackling Doom,Burn|Burn player|Group slug|Multi removal|Power matters|Removal|Removal creature|Removal sacrifice|Spot removal
Cradle of Vitality,Lifegain matters|Pridemate|Triggered ability
Crash Through,Cantrip|Card advantage|Draw|Gives trample|Hand neutral|Pure draw
Crawling Barrens,Animate|Animate self|Mana sink
Crawlspace,Combat manipulation|Pillowfort
Creeping Bloodsucker,Burn|Burn player|Drain life|Group slug|Inverted effects|Lifegain|Triggered ability
Crib Swap,Cda subtype|Changeling|Characteristic defining ability|Removal|Removal creature|Removal exile|Single target instant/sorcery|Spot removal|Typal creature
Crimson Wisps,Cantrip|Card advantage|Cycle|Cycle shm wisps|Draw|Gives haste|Hand neutral|Pure draw|Single target instant/sorcery
Crippling Fear,Removal|Removal creature|Removal toughness|Sweeper|Typal choose|Typal creature
Crossroads Village,Color choose land
Crossway Troublemakers,Card advantage|Death trigger|Draw|Gives lifelink|Leaves battlefield trigger|Life for cards|Life payment|Lifegain|Pure draw|Repeatable draw|Sneaky self trigger|Synergy attacker|Triggered ability|Typal creature|Typal vampire
Crowded Crypt,Death trigger|Egg|Leaves battlefield trigger|Mana producer|Mana rock|Ramp|Sacrifice self|Triggered ability
Cruel Celebrant,Blood artist ability|Cycle|Cycle war draft signpost|Death trigger|Draft signpost|Drain life|Group slug|Inverted effects|Leaves battlefield trigger|Lifegain|Opponent loses life|Synergy planeswalker|Triggered ability
Crypt Ghast,Cast trigger|Cast trigger you|Drain life|Inverted effects|Lifegain|Mana increaser|Opponent loses life|Ramp|Synergy swamp|Triggered ability
Crypt of Agadeem,Cards in graveyard matter|Cycle|Cycle land|Cycle mono land|Cycle zen namedland|Ramp|Synergy black|Undergrowth
Cryptbreaker,Card advantage|Discard outlet|Draw|Life for cards|Life payment|Pure draw|Repeatable creature tokens|Repeatable draw|Repeatable token generator|Tap fuel creature|Tap outlet|Typal creature|Typal zombie
Cryptic Caves,Card advantage|Draw|Hand neutral|Lands matter|Pure draw|Sacrifice self
Crystal Barricade,Damage prevention|Damage prevention creature|Gives hexproof|Protects creature
Crystal Grotto,Library manipulation|Mana filter|Peek|Peek library|Top deck manipulation|Triggered ability
Crystal Vein,Ramp|Sacrifice self
Culling the Weak,Mana source (type)|Ramp|Ritual|Sacrifice outlet|Sacrifice outlet creature
Cunning Sparkmage,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Pinger|Removal|Removal burn|Removal creature|Removal planeswalker|Repeatable crime|Repeatable removal
Cursecloth Wrappings,Anthem|Copy|Copy creature|Gives embalm|Graveyard fuel|Graveyard fuel creature|Power boost to all|Reanimate|Reanimate creature|Recursion|Recursion creature|Repeatable creature tokens|Repeatable token generator|Typal creature|Typal zombie
Cursed Mirror,Copy|Copy creature|Gains haste|Mana producer|Mana rock|Ramp
Cursed Recording,Cast trigger|Cast trigger you|Copy|Copy instant|Copy sorcery|Delayed triggered ability|Life payment|Triggered ability
Cursed Totem,Hate|Hate activation|Prevent activation
Cut // Ribbons,Burn|Burn creature|Burn with set's mechanic|Castable from graveyard|Castable from nonhand|Cycle|Cycle akh allied aftermath|Exile self|Group slug|Opponent loses life|Removal|Removal burn|Removal creature|Single target instant/sorcery|Spot removal|Three letter name
Cut Down,Removal|Removal creature|Removal destroy|Single target instant/sorcery|Spot removal
Cyclonic Rift,Bounce|Pseudo fog|Removal|Removal artifact|Removal aura|Removal battle|Removal bounce|Removal creature|Removal enchantment|Removal equipment|Removal nonland|Removal planeswalker|Removal spacecraft|Removal vehicle|Single target instant/sorcery|Spot removal|Sweeper|Sweeper one sided
Dalkovan Encampment,Attack trigger|Cycle|Cycle land|Cycle mono land|Cycle tdm utility land|Delayed triggered ability|Repeatable creature tokens|Repeatable token generator|Synergy attacker|Synergy mountain|Synergy swamp|Triggered ability
Damn,Removal|Removal creature|Removal destroy|Single target instant/sorcery|Spot removal|Sweeper
Damnation,Removal|Removal creature|Removal destroy|Sweeper
Dance of the Dead,Cost ignorer|Delayed triggered ability|Enchant change|Reanimate|Reanimate creature|Reanimate from any|Reanimate from opponent|Recursion|Recursion creature|Theft|Triggered ability|Untapper|Untapper creature
Dangerous Wager,Card advantage|Discard outlet|Draw|Miniwheel|Wheel
Dark Deal,Card advantage|Discard|Discard outlet|Draw|Hand negative|Miniwheel|Wheel
Dark Depths,Mana sink|Manaless land|State trigger|Triggered ability
Dark Impostor,Mana sink|Mimic|Removal|Removal creature|Removal exile|Repeatable crime|Repeatable removal|Spot removal
Dark Prophecy,Card advantage|Deal with the devil|Death trigger|Draw|Leaves battlefield trigger|Life for cards|Life payment|Pure draw|Repeatable draw|Triggered ability
Dark Ritual,Cycle|Cycle lea boon|Interrupt|Mana source (type)|Ramp|Ritual
Dark Tutelage,Card advantage|Deal with the devil|Life for cards|Life payment|Triggered ability|Wannabe dark confidant
Darksteel Mutation,Gives indestructible|Humble|Removal|Removal creature|Spot removal
Darksteel Plate,Gives indestructible|Protects creature
Darkwater Catacombs,Cycle|Cycle dual land|Cycle land|Cycle ody ally filterland|Cycle ody filterland|Dual land|Filterland|Mana filter
Dash Hopes,Cast trigger|Cast trigger self|Counterspell|Counterspell with set mechanic|Cycle|Cycle plc extortion vertical|Punisher|Single target instant/sorcery|Triggered ability
Dauthi Voidwalker,Evasion|Free cast another|Gives castable from exile|Gives castable from nonhand|Hate|Hate graveyard|Hatebear|Sacrifice self|Theft|Theft cast
Dawn Charm,Combat trick|Counterspell|Cycle|Cycle plc charm|Damage prevention|Fog|Protects creature|Regenerates other|Single target instant/sorcery
Dawn's Truce,Combat trick|Gives hexproof|Gives indestructible|Group hug|Protects creature
Dawnbreak Reclaimer,Bribery|Evasion|Group hug|Reanimate|Reanimate creature|Recursion|Recursion creature|Triggered ability
"Dawnsire, Sunstar Dreadnought",Animate|Animate self|Attack trigger|Burn|Burn creature|Burn planeswalker|Evasion|Power matters|Removal|Removal burn|Removal creature|Removal planeswalker|Repeatable crime|Repeatable removal|Spot removal|Synergy attacker|Tap fuel creature|Tap outlet|Triggered ability
"Daxos, Blessed by the Sun",Cda toughness|Characteristic defining ability|Creaturefall|Cycle|Cycle thb demigod|Death trigger|Leaves battlefield trigger|Lifegain|Soul warden ability|Synergy white|Thingfall|Triggered ability
Day of Judgment,Removal|Removal creature|Removal destroy|Sweeper
Dazzling Angel,Creaturefall|Evasion|Lifegain|Soul warden ability|Thingfall|Triggered ability
Dazzling Theater // Prop Room,Cost reducer|Extra untap|Synergy color share|Tap fuel creature|Tap outlet|Untapper|Untapper creature
Dead // Gone,Bounce|Burn|Burn creature|Burn with set's mechanic|Cycle|Cycle plc split vertical|Removal|Removal bounce|Removal burn|Removal creature|Single target instant/sorcery|Spot removal
Deadeye Duelist,Burn|Burn player|Pinger|Repeatable crime
Deadly Dispute,Card advantage|Draw|Hand positive|Plunder|Ramp|Sacrifice outlet|Sacrifice outlet artifact|Sacrifice outlet creature|Synergy artifact
Deadly Rollick,Cycle|Cycle c20 free spell|Manaless value|Potentially free|Removal|Removal creature|Removal exile|Single target instant/sorcery|Spot removal|Synergy commander
Deafening Silence,Hate|Hate storm|Rule of law
Death Baron,Anthem|Cycle|Cycle m19 typal lord|Power boost to all|Typal creature|Typal skeleton|Typal zombie
Debt to the Deathless,Drain life|Group slug|Inverted effects|Lifegain|Opponent loses life
Decanter of Endless Water,Hand size increase|Mana producer|Mana rock|Ramp
Defense Grid,Cost increaser|Hate|Hate counterspell
Defiant Bloodlord,Evasion|Lifegain matters|Lifegain to damage|Opponent loses life|Repeatable crime|Triggered ability
Defiant Ogre,Cycle|Cycle frf modal etb creature|Removal|Removal artifact|Removal destroy|Spot removal|Triggered ability
Defibrillating Current,Burn|Burn creature|Burn planeswalker|Cycle|Cycle tdm u twobrid|Drain creature|Lifegain|Removal|Removal burn|Removal creature|Removal planeswalker|Single target instant/sorcery|Spot removal
Defiler of Instinct,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Cast trigger|Cast trigger you|Cost reducer|Cost reducer colored mana|Cycle|Cycle dmu defiler|Life payment|Pinger|Ramp|Removal|Removal burn|Removal creature|Removal planeswalker|Repeatable crime|Synergy red|Triggered ability
Deflecting Palm,Aikido|Burn|Burn player|Cycle|Cycle ktk r two color|Damage prevention|Damage prevention you|Damage redirection
Deflecting Swat,Change target|Cycle|Cycle c20 free spell|Manaless value|Potentially free|Single target instant/sorcery|Synergy commander
Delayed Blast Fireball,Burn|Burn creature|Burn player|Burn with set's mechanic|Castable from exile|Castable from nonhand|Exile self|Group slug|Removal|Removal burn|Removal creature|Self replacement effect|Sweeper|Sweeper one sided|Synergy exile cast|Unexile
Delete,Burn|Burn creature|Burn player|Burn player each|Group slug|Removal|Removal burn|Removal creature|Sweeper|Synergy artifact creature
Demand Answers,Card advantage|Discard outlet|Draw|Hand neutral|Hand positive|Plunder|Sacrifice outlet|Sacrifice outlet artifact|Synergy artifact
Demolition Field,Fetchland|Hate|Hate nonbasic land|Removal|Removal destroy|Removal land|Sacrifice self|Spot removal|Tutor|Tutor land|Tutor land basic|Tutor land to battlefield|Tutor to|Tutor to battlefield
Demonic Consultation,Card advantage
Demonic Counsel,Card types in graveyard matter|Cards in graveyard matter|Self replacement effect|Tutor|Tutor card|Tutor to|Tutor to hand|Typal creature|Typal demon
Demonic Ruckus,Card advantage|Castable from exile|Castable from nonhand|Death trigger|Death trigger self|Draw|Exile self|Gives evasion|Gives trample|Leaves battlefield trigger|Pure draw|Triggered ability|Unexile
Demonic Tutor,Tutor|Tutor card|Tutor to|Tutor to hand
Demystify,Removal|Removal destroy|Removal enchantment|Single target instant/sorcery|Spot removal
Den of the Bugbear,Animate|Animate self|Attack trigger|Color change self|Cycle|Cycle afr creatureland|Cycle land|Cycle mono land|Mana sink|Repeatable creature tokens|Repeatable token generator|Synergy attacker self|Triggered ability
Descent into Avernus,Burn|Burn player|Burn player each|Counters matter|Group hug|Group slug|Ramp|Repeatable artifact tokens|Repeatable noncreature tokens|Repeatable token generator|Repeatable treasures|Triggered ability
Desert,Burn|Burn creature|Hate|Hate attacker|Pinger|Removal|Removal burn|Removal creature|Repeatable crime|Repeatable removal|Spot removal
Desert of the Fervent,Card advantage|Cycle|Cycle cycling land|Cycle hou desert cycling land|Cycle land|Cycle mono land|Draw|Hand neutral|Pure draw
Desert's Due,Combat trick|Removal|Removal creature|Removal toughness|Single target instant/sorcery|Spot removal|Synergy desert
Deserted Beach,Cycle|Cycle dual land|Cycle land|Cycle mid slowland|Cycle slowland|Dual land|Lands matter
Desolate Mire,Cycle|Cycle dual land|Cycle land|Cycle ody filterland|Cycle pip enemy filterland|Dual land|Filterland|Mana filter
Despark,Cycle|Cycle war u two color spell|Removal|Removal artifact|Removal aura|Removal battle|Removal creature|Removal enchantment|Removal equipment|Removal exile|Removal nonland|Removal planeswalker|Removal spacecraft|Removal vehicle|Single target instant/sorcery|Spot removal
Desperate Bloodseeker,Lifegain|Mill|Mill any|Mill opponent|Mill self|Triggered ability
Desperate Ritual,Ramp|Ritual|Synergy arcane
Destroy Evil,Doomblade|Hate|Hate high pt|Removal|Removal creature|Removal destroy|Removal enchantment|Single target instant/sorcery|Spot removal
Detection Tower,
Determined Iteration,Copy|Copy token|Delayed triggered ability|Repeatable creature tokens|Repeatable token generator|Synergy token|Synergy token creature|Triggered ability
Detonate,Burn|Burn player|Mana value matters|Removal|Removal artifact|Removal destroy|Single target instant/sorcery|Spot removal
Detritivore,Cards in graveyard matter|Castable from exile|Castable from nonhand|Cda power|Cda toughness|Characteristic defining ability|Cycle|Cycle plc suspend x creature|Exile self|Gains haste|Hate|Hate nonbasic land|Lands in graveyard matter|Removal|Removal destroy|Removal land|Repeatable removal|Spot removal|Trigger from exile|Triggered ability|Unexile
Devil's Play,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Burn with set's mechanic|Castable from graveyard|Castable from nonhand|Cycle|Cycle isd r flashback|Exile self|Removal|Removal burn|Removal creature|Removal planeswalker|Single target instant/sorcery
Devoted Duelist,Burn|Burn player|Cast trigger|Cast trigger you|Group slug|Pinger|Second spell matters|Triggered ability
Diabolic Intent,Sacrifice outlet|Sacrifice outlet creature|Tutor|Tutor card|Tutor to|Tutor to hand
Diabolic Revelation,Tutor|Tutor card|Tutor to|Tutor to hand
Diabolic Tutor,Tutor|Tutor card|Tutor to|Tutor to hand
Diamond Lion,Discard outlet|Mana dork egg|Mana producer|Ramp|Sacrifice self
Diamond Pick-Axe,Attack trigger|Combat ramp|Ramp|Repeatable artifact tokens|Repeatable noncreature tokens|Repeatable token generator|Repeatable treasures|Synergy attacker|Triggered ability
Dictate of Erebos,Cycle|Cycle jou dictate|Death trigger|Grave pact|Leaves battlefield trigger|Multi removal|Namesake spell|Removal|Removal creature|Removal sacrifice|Repeatable removal|Spot removal|Triggered ability
Dictate of the Twin Gods,Cycle|Cycle jou dictate|Damage multiplier
"Dihada, Binder of Wills",Card advantage|Face commander|Gives haste|Gives indestructible|Gives lifelink|Impulse|Impulse legendary|Lifegain|Mill|Mill self|Mulch|Non creature commander|Ramp|Repeatable artifact tokens|Repeatable crime|Repeatable impulse|Repeatable mulch|Repeatable noncreature tokens|Repeatable token generator|Repeatable treasures|Synergy legendary|Theft|Theft nonland|Untapper|Untapper nonland
Dimir Signet,Cycle|Cycle rav signet|Mana filter|Mana producer|Mana rock|Ramp
Dire Flail,Attack trigger|Burn|Burn creature|Exile self|Graveyard fuel|Graveyard fuel artifact|One sided fight|Power matters|Removal|Removal burn|Removal creature|Repeatable removal|Sacrifice outlet|Sacrifice outlet artifact|Synergy artifact|Synergy attacker|Triggered ability
Diregraf Captain,Anthem|Cycle|Cycle dka draft signpost|Cycle dka monster lord|Death trigger|Draft signpost|Leaves battlefield trigger|Opponent loses life|Power boost to all|Repeatable crime|Triggered ability|Typal creature|Typal zombie
Diregraf Colossus,Cast trigger|Cast trigger you|Cycle|Cycle soi typal lord|Repeatable creature tokens|Repeatable token generator|Triggered ability|Typal creature|Typal zombie
Disdainful Stroke,Counterspell|Single target instant/sorcery
Disenchant,Disenchant/naturalize|Removal|Removal artifact|Removal destroy|Removal enchantment|Single target instant/sorcery|Spot removal|Tmp storyline in cards|Usg storyline in cards
Dismantling Wave,Card advantage|Cycle trigger self|Disenchant/naturalize|Draw|Hand neutral|Multi removal|Multiple targets|Pure draw|Removal|Removal artifact|Removal destroy|Removal enchantment|Single target instant/sorcery|Spot removal|Sweeper|Triggered ability
Dismember,Alternate cost life|Discount self|Life payment|Phyrexian mana cost|Removal|Removal creature|Removal toughness|Single target instant/sorcery|Spot removal
Display of Power,Copy|Copy instant|Copy sorcery|Multiple targets|Single target instant/sorcery|Uncopiable spell
Divine Resilience,Combat trick|Gives indestructible|Multiple targets|Protects creature|Single target instant/sorcery
Dollmaker's Shop // Porcelain Gallery,Attack trigger|Creature count matters|Cycle|Cycle dsk m room|Repeatable creature tokens|Repeatable token generator|Synergy attacker|Triggered ability|Warlord
Dominating Vampire,Gives haste|Theft|Triggered ability|Typal creature|Typal vampire|Untapper|Untapper creature
Doomed Necromancer,Reanimate|Reanimate creature|Recursion|Recursion creature|Sacrifice self
Doomsday,Doctor who episode name|Extract|Library manipulation|Life divider|Life payment|Recursion|Restock to top|Top deck manipulation|Tutor|Tutor card|Tutor to|Tutor to top
Door of Destinies,Anthem|Cast trigger|Cast trigger you|Power boost to all|Triggered ability|Typal choose|Typal creature
Dormant Volcano,Bounce|Bounceland|Cycle|Cycle land|Cycle mono land|Cycle vis karoo land|Rescue land|Synergy mountain|Triggered ability
Doublecast,Cast trigger|Cast trigger you|Copy|Copy instant|Copy sorcery|Delayed triggered ability|Triggered ability
Dovin's Veto,Counterspell|Counterspell noncreature|Cycle|Cycle war u two color spell|Hate|Hate counterspell|Namesake spell|Single target instant/sorcery
Downhill Charge,Alternate cost sacrifice|Combat trick|Lands matter|Sacrifice outlet|Sacrifice outlet land|Single target instant/sorcery|Synergy mountain
Draconic Destiny,Gives evasion|Gives flying|Gives haste|Mana sink|Triggered ability
Dragon Mantle,Cantrip|Card advantage|Cycle|Cycle ths cantrip aura|Draw|Hand neutral|Mana sink|Pure draw|Triggered ability
Dragon's Claw,Cast trigger|Cycle|Cycle dst lucky charm|Hate|Hate color|Hate red|Lifegain|Synergy red|Triggered ability
Dragon's Rage Channeler,Card types in graveyard matter|Cards in graveyard matter|Cast trigger|Cast trigger you|Evasion|Library manipulation|Mill|Mill self|Mix and match|Peek|Peek library|Surveil|Synergy noncreature|Top deck manipulation|Triggered ability
Dragonfire Blade,Gives hexproof|Hate|Hate color|Hate monocolor|Synergy color each|Synergy multicolor
"Dragonhawk, Fate's Tempest",Attack trigger|Burn|Burn player|Card advantage|Cycle blb m mono legend|Delayed triggered ability|Evasion|Gives castable from exile|Gives castable from nonhand|Group slug|Impulsive draw|Power matters|Repeatable impulsive draw|Synergy attacker self|Triggered ability
Dragonrage,Combat ramp|Mana sink|Power boost to all|Ramp|Ritual|Synergy attacker
Dragonskull Summit,Cycle|Cycle checkland|Cycle dual land|Cycle land|Cycle m10 checkland|Dual land|Synergy mountain|Synergy swamp
Drana and Linvala,Cycle mom two color team up|Evasion|Legendary team up|Mimic|Prevent activation
Drana's Emissary,Cycle|Cycle bfz draft signpost|Draft signpost|Drain life|Evasion|Group slug|Inverted effects|Lifegain|Namesake spell|Opponent loses life|Triggered ability
"Drana, Kalastria Bloodchief",Alt commander|Cycle|Cycle c14 alt commander|Drain strength|Evasion|Inverted effects|Mana sink|Removal|Removal creature|Removal toughness|Repeatable removal|Spot removal
"Drana, Liberator of Malakir",Evasion|Gives pp counters to all|Power boost to all|Slith ability|Synergy attacker|Triggered ability
"Drana, the Last Bloodchief",Attack trigger|Cycle|Cycle znr m mono legend|Evasion|Indefinite effect|Opponent chooses|Reanimate|Reanimate creature|Recursion|Recursion creature|Synergy attacker self|Triggered ability
Drannith Magistrate,Hate|Hate cascade|Hate flashback|Hatebear|Prevent cast
Dread Return,Castable from graveyard|Castable from nonhand|Exile self|Manaless value|Reanimate|Reanimate creature|Recursion|Recursion creature|Sacrifice outlet|Sacrifice outlet creature|Single target instant/sorcery
Dreadbore,Cycle|Cycle rvr r guild spell|Removal|Removal creature|Removal destroy|Removal planeswalker|Single target instant/sorcery|Spot removal
Dreadhorde Arcanist,Attack trigger|Free cast another|Gives castable from graveyard|Gives castable from nonhand|Power matters|Power matters self|Recursion|Recursion instant|Recursion sorcery|Synergy attacker self|Synergy instant|Synergy sorcery|Triggered ability
